INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 20, max_depth: 1, MAE: 0.10545976330393479, MSE: 0.017876821107277424, RMSE: 0.1337042299528232, MAE: 0.08311536470980287, MSE: 0.011310393650040832, RMSE: 0.10635033450836359
INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 20, max_depth: 2, MAE: 0.09651429516706114, MSE: 0.015682056498332406, RMSE: 0.12522801802445171, MAE: 0.04670754226662197, MSE: 0.0037085076991503316, RMSE: 0.06089751800484427
INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 20, max_depth: 2, MAE: 0.10653671990733211, MSE: 0.018586986719722903, RMSE: 0.13633409962193208, MAE: 0.04411456877674714, MSE: 0.0033542377433875394, RMSE: 0.057915781470921544
INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 20, max_depth: 1, MAE: 0.09407999360348292, MSE: 0.015213066281529108, RMSE: 0.12334125944520394, MAE: 0.08407231608242934, MSE: 0.01158803579337082, RMSE: 0.10764773937882216
INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 19, max_depth: 1, MAE: 0.10387851154150186, MSE: 0.017308974413941365, RMSE: 0.13156357555927614, MAE: 0.0806555297498039, MSE: 0.010936619579465784, RMSE: 0.10457829401680725
INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.0968031215365365, MSE: 0.015087172502494797, RMSE: 0.1228298518377955, MAE: 0.0825135692073212, MSE: 0.011419145834988098, RMSE: 0.10686040349440994
INFO:root:learning_rate: 0.05, n_estimators: 1500, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.09855027700678562, MSE: 0.016667273406763668, RMSE: 0.12910179474648548, MAE: 0.07943424905625852, MSE: 0.010545352737660588, RMSE: 0.10269056790991365
INFO:root:learning_rate: 0.05, n_estimators: 2000, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.10108899776359553, MSE: 0.016765051554957534, RMSE: 0.1294799272279589, MAE: 0.07822603356051291, MSE: 0.009970045110431737, RMSE: 0.09985011322192748
INFO:root:learning_rate: 0.05, n_estimators: 1800, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.09845476913880291, MSE: 0.015676767886838694, RMSE: 0.1252069003163911, MAE: 0.08094359201414782, MSE: 0.0107679119532547, RMSE: 0.10376854992363872
INFO:root:learning_rate: 0.05, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.09795907271845843, MSE: 0.01538883074267264, RMSE: 0.12405172607695808, MAE: 0.08383703171340932, MSE: 0.011708739592239495, RMSE: 0.10820692950194777
INFO:root:learning_rate: 0.03, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.10505098171327619, MSE: 0.018350956285389682, RMSE: 0.13546570150923695, MAE: 0.08764655516149307, MSE: 0.012586167040036166, RMSE: 0.11218808778135121
INFO:root:learning_rate: 0.08, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.10204103990647441, MSE: 0.01721223522757979, RMSE: 0.13119540856135092, MAE: 0.07564986610998573, MSE: 0.009631894697060502, RMSE: 0.09814221669119004
INFO:root:learning_rate: 0.1, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.09637803928542053, MSE: 0.015361473928156474, RMSE: 0.12394141328932987, MAE: 0.07841757031014525, MSE: 0.010197739342378097, RMSE: 0.10098385684047771
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.10084333307107032, MSE: 0.016203392509092966, RMSE: 0.12729254695029465, MAE: 0.079293983880103, MSE: 0.01058946567922645, RMSE: 0.10290512950881725
INFO:root:learning_rate: 0.07, n_estimators: 1300, subsample: 0.9, min_samples_split: 15, max_depth: 1, MAE: 0.09153532970212498, MSE: 0.014160161121935081, RMSE: 0.11899647525004714, MAE: 0.07988217764865016, MSE: 0.010613488429902116, RMSE: 0.10302178619060201
